timestamp,Data item,Frequency,Average
"Wednesday, 25 February 2026, 4:45:00 AM NZDT to Wednesday, 25 February 2026, 4:50:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 5:25:00 AM NZDT to Wednesday, 25 February 2026, 5:30:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 6:20:00 AM NZDT to Wednesday, 25 February 2026, 6:25:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 6:25:00 AM NZDT to Wednesday, 25 February 2026, 6:30:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 6:30:00 AM NZDT to Wednesday, 25 February 2026, 6:35:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 6:40:00 AM NZDT to Wednesday, 25 February 2026, 6:45:00 AM NZDT",Signal group 13,1,6
"Wednesday, 25 February 2026, 6:50:00 AM NZDT to Wednesday, 25 February 2026, 6:55:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 7:00:00 AM NZDT to Wednesday, 25 February 2026, 7:05:00 AM NZDT",Signal group 13,1,6
"Wednesday, 25 February 2026, 7:10:00 AM NZDT to Wednesday, 25 February 2026, 7:15:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 7:15:00 AM NZDT to Wednesday, 25 February 2026, 7:20:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 7:20:00 AM NZDT to Wednesday, 25 February 2026, 7:25:00 AM NZDT",Signal group 13,1,6
"Wednesday, 25 February 2026, 7:20:00 AM NZDT to Wednesday, 25 February 2026, 7:25:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 7:35:00 AM NZDT to Wednesday, 25 February 2026, 7:40:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 7:35:00 AM NZDT to Wednesday, 25 February 2026, 7:40:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 7:45:00 AM NZDT to Wednesday, 25 February 2026, 7:50:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 7:55:00 AM NZDT to Wednesday, 25 February 2026, 8:00:00 AM NZDT",Signal group 13,1,6
"Wednesday, 25 February 2026, 7:55:00 AM NZDT to Wednesday, 25 February 2026, 8:00:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 7:55:00 AM NZDT to Wednesday, 25 February 2026, 8:00:00 AM NZDT",Signal group 15,2,6
"Wednesday, 25 February 2026, 7:55:00 AM NZDT to Wednesday, 25 February 2026, 8:00:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 8:00:00 AM NZDT to Wednesday, 25 February 2026, 8:05:00 AM NZDT",Signal group 13,1,6
"Wednesday, 25 February 2026, 8:00:00 AM NZDT to Wednesday, 25 February 2026, 8:05:00 AM NZDT",Signal group 14,1,7
"Wednesday, 25 February 2026, 8:00:00 AM NZDT to Wednesday, 25 February 2026, 8:05:00 AM NZDT",Signal group 15,2,6
"Wednesday, 25 February 2026, 8:00:00 AM NZDT to Wednesday, 25 February 2026, 8:05:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 8:05:00 AM NZDT to Wednesday, 25 February 2026, 8:10:00 AM NZDT",Signal group 15,2,6
"Wednesday, 25 February 2026, 8:05:00 AM NZDT to Wednesday, 25 February 2026, 8:10:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 8:10:00 AM NZDT to Wednesday, 25 February 2026, 8:15:00 AM NZDT",Signal group 15,2,6
"Wednesday, 25 February 2026, 8:10:00 AM NZDT to Wednesday, 25 February 2026, 8:15:00 AM NZDT",Signal group 16,2,6
"Wednesday, 25 February 2026, 8:15:00 AM NZDT to Wednesday, 25 February 2026, 8:20:00 AM NZDT",Signal group 15,1,6
"Wednesday, 25 February 2026, 8:15:00 AM NZDT to Wednesday, 25 February 2026, 8:20:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 8:20:00 AM NZDT to Wednesday, 25 February 2026, 8:25:00 AM NZDT",Signal group 13,1,6
"Wednesday, 25 February 2026, 8:20:00 AM NZDT to Wednesday, 25 February 2026, 8:25:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 8:20:00 AM NZDT to Wednesday, 25 February 2026, 8:25:00 AM NZDT",Signal group 15,3,5
"Wednesday, 25 February 2026, 8:20:00 AM NZDT to Wednesday, 25 February 2026, 8:25:00 AM NZDT",Signal group 16,1,6
"Wednesday, 25 February 2026, 8:25:00 AM NZDT to Wednesday, 25 February 2026, 8:30:00 AM NZDT",Signal group 14,1,6
"Wednesday, 25 February 2026, 8:25:00 AM NZDT to Wednesday, 25 February 2026, 8:30:00 AM NZDT",Signal group 15,2,6
"Wednesday, 25 February 2026, 8:30:00 AM NZDT to Wednesday, 25 February 2026, 8:35:00 AM NZDT",Signal group 14,2,6
"Wednesday, 25 February 2026, 8:30:00 AM NZDT to Wednesday, 25 February 2026, 8:35:00 AM NZDT",Signal group 15,1,7
