Phase,Duration (s),Start,End,Gapped
?,12,2026-02-25T00:00:00+13:00[Pacific/Auckland],2026-02-25T00:00:12+13:00[Pacific/Auckland],
B,16,2026-02-25T00:00:12+13:00[Pacific/Auckland],2026-02-25T00:00:28+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T00:00:28+13:00[Pacific/Auckland],2026-02-25T00:00:45+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T00:00:45+13:00[Pacific/Auckland],2026-02-25T00:01:01+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T00:01:01+13:00[Pacific/Auckland],2026-02-25T00:01:12+13:00[Pacific/Auckland],Yes
B,16,2026-02-25T00:01:12+13:00[Pacific/Auckland],2026-02-25T00:01:28+13:00[Pacific/Auckland],Yes
<A>,77,2026-02-25T00:01:28+13:00[Pacific/Auckland],2026-02-25T00:02:45+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T00:02:45+13:00[Pacific/Auckland],2026-02-25T00:02:58+13:00[Pacific/Auckland],Yes
<A>,33,2026-02-25T00:02:58+13:00[Pacific/Auckland],2026-02-25T00:03:31+13:00[Pacific/Auckland],
B,16,2026-02-25T00:03:31+13:00[Pacific/Auckland],2026-02-25T00:03:47+13:00[Pacific/Auckland],Yes
<A>,34,2026-02-25T00:03:47+13:00[Pacific/Auckland],2026-02-25T00:04:21+13:00[Pacific/Auckland],Yes
B,16,2026-02-25T00:04:21+13:00[Pacific/Auckland],2026-02-25T00:04:37+13:00[Pacific/Auckland],Yes
<A>,234,2026-02-25T00:04:37+13:00[Pacific/Auckland],2026-02-25T00:08:31+13:00[Pacific/Auckland],
B,16,2026-02-25T00:08:31+13:00[Pacific/Auckland],2026-02-25T00:08:47+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T00:08:47+13:00[Pacific/Auckland],2026-02-25T00:08:58+13:00[Pacific/Auckland],Yes
C,15,2026-02-25T00:08:58+13:00[Pacific/Auckland],2026-02-25T00:09:13+13:00[Pacific/Auckland],Yes
<A>,204,2026-02-25T00:09:13+13:00[Pacific/Auckland],2026-02-25T00:12:37+13:00[Pacific/Auckland],
B,16,2026-02-25T00:12:37+13:00[Pacific/Auckland],2026-02-25T00:12:53+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T00:12:53+13:00[Pacific/Auckland],2026-02-25T00:13:09+13:00[Pacific/Auckland],Yes
<A>,52,2026-02-25T00:13:09+13:00[Pacific/Auckland],2026-02-25T00:14:01+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T00:14:01+13:00[Pacific/Auckland],2026-02-25T00:14:13+13:00[Pacific/Auckland],Yes
<A>,23,2026-02-25T00:14:13+13:00[Pacific/Auckland],2026-02-25T00:14:36+13:00[Pacific/Auckland],
B,16,2026-02-25T00:14:36+13:00[Pacific/Auckland],2026-02-25T00:14:52+13:00[Pacific/Auckland],Yes
<A>,23,2026-02-25T00:14:52+13:00[Pacific/Auckland],2026-02-25T00:15:15+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T00:15:15+13:00[Pacific/Auckland],2026-02-25T00:15:28+13:00[Pacific/Auckland],Yes
<A>,13,2026-02-25T00:15:28+13:00[Pacific/Auckland],2026-02-25T00:15:41+13:00[Pacific/Auckland],Yes
B,16,2026-02-25T00:15:41+13:00[Pacific/Auckland],2026-02-25T00:15:57+13:00[Pacific/Auckland],Yes
C,16,2026-02-25T00:15:57+13:00[Pacific/Auckland],2026-02-25T00:16:13+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T00:16:13+13:00[Pacific/Auckland],2026-02-25T00:16:29+13:00[Pacific/Auckland],Yes
<A>,106,2026-02-25T00:16:29+13:00[Pacific/Auckland],2026-02-25T00:18:15+13:00[Pacific/Auckland],
B,16,2026-02-25T00:18:15+13:00[Pacific/Auckland],2026-02-25T00:18:31+13:00[Pacific/Auckland],Yes
<A>,13,2026-02-25T00:18:31+13:00[Pacific/Auckland],2026-02-25T00:18:44+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T00:18:44+13:00[Pacific/Auckland],2026-02-25T00:18:56+13:00[Pacific/Auckland],Yes
<A>,161,2026-02-25T00:18:56+13:00[Pacific/Auckland],2026-02-25T00:21:37+13:00[Pacific/Auckland],
B,16,2026-02-25T00:21:37+13:00[Pacific/Auckland],2026-02-25T00:21:53+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T00:21:53+13:00[Pacific/Auckland],2026-02-25T00:22:10+13:00[Pacific/Auckland],Yes
<A>,208,2026-02-25T00:22:10+13:00[Pacific/Auckland],2026-02-25T00:25:38+13:00[Pacific/Auckland],Yes
C,16,2026-02-25T00:25:38+13:00[Pacific/Auckland],2026-02-25T00:25:54+13:00[Pacific/Auckland],Yes
<A>,54,2026-02-25T00:25:54+13:00[Pacific/Auckland],2026-02-25T00:26:48+13:00[Pacific/Auckland],Yes
D,18,2026-02-25T00:26:48+13:00[Pacific/Auckland],2026-02-25T00:27:06+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T00:27:06+13:00[Pacific/Auckland],2026-02-25T00:27:17+13:00[Pacific/Auckland],Yes
B,16,2026-02-25T00:27:17+13:00[Pacific/Auckland],2026-02-25T00:27:33+13:00[Pacific/Auckland],Yes
<A>,63,2026-02-25T00:27:33+13:00[Pacific/Auckland],2026-02-25T00:28:36+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T00:28:36+13:00[Pacific/Auckland],2026-02-25T00:28:49+13:00[Pacific/Auckland],Yes
<A>,152,2026-02-25T00:28:49+13:00[Pacific/Auckland],2026-02-25T00:31:21+13:00[Pacific/Auckland],
B,16,2026-02-25T00:31:21+13:00[Pacific/Auckland],2026-02-25T00:31:37+13:00[Pacific/Auckland],Yes
<A>,127,2026-02-25T00:31:37+13:00[Pacific/Auckland],2026-02-25T00:33:44+13:00[Pacific/Auckland],
B,16,2026-02-25T00:33:44+13:00[Pacific/Auckland],2026-02-25T00:34:00+13:00[Pacific/Auckland],Yes
<A>,61,2026-02-25T00:34:00+13:00[Pacific/Auckland],2026-02-25T00:35:01+13:00[Pacific/Auckland],Yes
C,14,2026-02-25T00:35:01+13:00[Pacific/Auckland],2026-02-25T00:35:15+13:00[Pacific/Auckland],Yes
<A>,139,2026-02-25T00:35:15+13:00[Pacific/Auckland],2026-02-25T00:37:34+13:00[Pacific/Auckland],
B,16,2026-02-25T00:37:34+13:00[Pacific/Auckland],2026-02-25T00:37:50+13:00[Pacific/Auckland],Yes
<A>,14,2026-02-25T00:37:50+13:00[Pacific/Auckland],2026-02-25T00:38:04+13:00[Pacific/Auckland],Yes
D,17,2026-02-25T00:38:04+13:00[Pacific/Auckland],2026-02-25T00:38:21+13:00[Pacific/Auckland],Yes
<A>,115,2026-02-25T00:38:21+13:00[Pacific/Auckland],2026-02-25T00:40:16+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T00:40:16+13:00[Pacific/Auckland],2026-02-25T00:40:29+13:00[Pacific/Auckland],Yes
<A>,225,2026-02-25T00:40:29+13:00[Pacific/Auckland],2026-02-25T00:44:14+13:00[Pacific/Auckland],
B,16,2026-02-25T00:44:14+13:00[Pacific/Auckland],2026-02-25T00:44:30+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T00:44:30+13:00[Pacific/Auckland],2026-02-25T00:44:41+13:00[Pacific/Auckland],Yes
C,14,2026-02-25T00:44:41+13:00[Pacific/Auckland],2026-02-25T00:44:55+13:00[Pacific/Auckland],Yes
<A>,533,2026-02-25T00:44:55+13:00[Pacific/Auckland],2026-02-25T00:53:48+13:00[Pacific/Auckland],
B,16,2026-02-25T00:53:48+13:00[Pacific/Auckland],2026-02-25T00:54:04+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T00:54:04+13:00[Pacific/Auckland],2026-02-25T00:54:21+13:00[Pacific/Auckland],Yes
<A>,32,2026-02-25T00:54:21+13:00[Pacific/Auckland],2026-02-25T00:54:53+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T00:54:53+13:00[Pacific/Auckland],2026-02-25T00:55:06+13:00[Pacific/Auckland],Yes
<A>,48,2026-02-25T00:55:06+13:00[Pacific/Auckland],2026-02-25T00:55:54+13:00[Pacific/Auckland],
B,16,2026-02-25T00:55:54+13:00[Pacific/Auckland],2026-02-25T00:56:10+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T00:56:10+13:00[Pacific/Auckland],2026-02-25T00:56:21+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T00:56:21+13:00[Pacific/Auckland],2026-02-25T00:56:33+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T00:56:33+13:00[Pacific/Auckland],2026-02-25T00:56:44+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T00:56:44+13:00[Pacific/Auckland],2026-02-25T00:57:00+13:00[Pacific/Auckland],Yes
<A>,22,2026-02-25T00:57:00+13:00[Pacific/Auckland],2026-02-25T00:57:22+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T00:57:22+13:00[Pacific/Auckland],2026-02-25T00:57:34+13:00[Pacific/Auckland],Yes
<A>,70,2026-02-25T00:57:34+13:00[Pacific/Auckland],2026-02-25T00:58:44+13:00[Pacific/Auckland],
B,17,2026-02-25T00:58:44+13:00[Pacific/Auckland],2026-02-25T00:59:01+13:00[Pacific/Auckland],Yes
D,15,2026-02-25T00:59:01+13:00[Pacific/Auckland],2026-02-25T00:59:16+13:00[Pacific/Auckland],Yes
<A>,52,2026-02-25T00:59:16+13:00[Pacific/Auckland],2026-02-25T01:00:08+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T01:00:08+13:00[Pacific/Auckland],2026-02-25T01:00:21+13:00[Pacific/Auckland],Yes
<A>,20,2026-02-25T01:00:21+13:00[Pacific/Auckland],2026-02-25T01:00:41+13:00[Pacific/Auckland],
B,16,2026-02-25T01:00:41+13:00[Pacific/Auckland],2026-02-25T01:00:57+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T01:00:57+13:00[Pacific/Auckland],2026-02-25T01:01:13+13:00[Pacific/Auckland],Yes
<A>,11,2026-02-25T01:01:13+13:00[Pacific/Auckland],2026-02-25T01:01:24+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T01:01:24+13:00[Pacific/Auckland],2026-02-25T01:01:36+13:00[Pacific/Auckland],Yes
<A>,164,2026-02-25T01:01:36+13:00[Pacific/Auckland],2026-02-25T01:04:20+13:00[Pacific/Auckland],
B,16,2026-02-25T01:04:20+13:00[Pacific/Auckland],2026-02-25T01:04:36+13:00[Pacific/Auckland],Yes
<A>,17,2026-02-25T01:04:36+13:00[Pacific/Auckland],2026-02-25T01:04:53+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T01:04:53+13:00[Pacific/Auckland],2026-02-25T01:05:05+13:00[Pacific/Auckland],Yes
<A>,386,2026-02-25T01:05:05+13:00[Pacific/Auckland],2026-02-25T01:11:31+13:00[Pacific/Auckland],
B,16,2026-02-25T01:11:31+13:00[Pacific/Auckland],2026-02-25T01:11:47+13:00[Pacific/Auckland],Yes
