Site,Date,Interval start,Interval end,Detector 1,Detector 2,Detector 3,Detector 4,Detector 5,Detector 6,Detector 7,Detector 8,Total
36,"Wednesday, 25 February 2026",12:00:00 AM NZDT,12:05:00 AM NZDT,1,1,1,1,2,1,1,2,10
36,"Wednesday, 25 February 2026",12:05:00 AM NZDT,12:10:00 AM NZDT,1,0,2,0,1,0,1,0,5
36,"Wednesday, 25 February 2026",12:10:00 AM NZDT,12:15:00 AM NZDT,1,1,0,0,0,1,2,0,5
36,"Wednesday, 25 February 2026",12:15:00 AM NZDT,12:20:00 AM NZDT,4,0,4,1,1,1,1,1,13
36,"Wednesday, 25 February 2026",12:20:00 AM NZDT,12:25:00 AM NZDT,1,0,1,0,1,0,0,0,3
36,"Wednesday, 25 February 2026",12:25:00 AM NZDT,12:30:00 AM NZDT,0,0,3,0,1,1,1,1,7
36,"Wednesday, 25 February 2026",12:30:00 AM NZDT,12:35:00 AM NZDT,1,0,0,0,0,0,3,0,4
36,"Wednesday, 25 February 2026",12:35:00 AM NZDT,12:40:00 AM NZDT,1,0,0,0,1,1,1,0,4
36,"Wednesday, 25 February 2026",12:40:00 AM NZDT,12:45:00 AM NZDT,0,0,2,0,0,0,1,0,3
36,"Wednesday, 25 February 2026",12:45:00 AM NZDT,12:50:00 AM NZDT,1,0,0,0,1,0,0,0,2
36,"Wednesday, 25 February 2026",12:50:00 AM NZDT,12:55:00 AM NZDT,2,0,2,0,0,0,0,0,4
36,"Wednesday, 25 February 2026",12:55:00 AM NZDT,1:00:00 AM NZDT,3,0,1,1,0,2,3,0,10
36,"Wednesday, 25 February 2026",1:00:00 AM NZDT,1:05:00 AM NZDT,1,0,2,0,0,1,2,0,6
36,"Wednesday, 25 February 2026",1:05:00 AM NZDT,1:10:00 AM NZDT,0,0,0,0,4,0,0,0,4
36,"Wednesday, 25 February 2026",1:10:00 AM NZDT,1:15:00 AM NZDT,2,0,0,0,2,0,1,0,5
36,"Wednesday, 25 February 2026",1:15:00 AM NZDT,1:20:00 AM NZDT,1,0,3,0,1,0,1,0,6
